TOTAL VALUE ,TAX,LOT SQFT ,YR BUILT,GROSS AREA ,LIVING AREA,FLOORS ,ROOMS,BEDROOMS ,FULL BATH,HALF BATH,KITCHEN,FIREPLACE,REMODEL
326.0,4101.0,4262.0,1960.0,2090.0,1300.0,2.0,7.0,3.0,,1.0,1.0,1.0,None
285.6,3592.0,5325.0,1945.0,,1364.0,1.0,5.0,2.0,1.0,0.0,1.0,1.0,None
345.9,4351.0,,1900.0,2490.0,1562.0,2.0,7.0,3.0,1.0,1.0,1.0,1.0,None
317.3,3991.0,7234.0,1910.0,2289.0,1440.0,2.0,7.0,3.0,1.0,0.0,1.0,0.0,None
277.8,3494.0,,1940.0,2036.0,1018.0,,5.0,3.0,1.0,1.0,1.0,1.0,None
306.8,3859.0,,1860.0,2038.0,1056.0,1.5,6.0,3.0,1.0,0.0,1.0,0.0,None
265.7,3342.0,3887.0,1950.0,2364.0,1075.0,1.0,6.0,,2.0,0.0,1.0,1.0,Old
356.8,4488.0,5906.0,,2368.0,2051.0,1.0,8.0,4.0,1.0,1.0,1.0,2.0,None
299.9,3772.0,5401.0,1991.0,1800.0,1800.0,2.0,6.0,3.0,1.0,1.0,1.0,1.0,None
287.8,3620.0,3204.0,1991.0,,1800.0,2.0,6.0,3.0,1.0,1.0,1.0,,None
296.0,3723.0,2947.0,1991.0,1800.0,1800.0,2.0,6.0,3.0,1.0,1.0,1.0,1.0,None
,,4241.0,1991.0,1800.0,1800.0,2.0,6.0,3.0,1.0,1.0,1.0,1.0,None
566.3,7124.0,8249.0,2007.0,4390.0,2708.0,2.0,8.0,4.0,2.0,1.0,,1.0,None
286.0,,7655.0,1910.0,3013.0,1318.0,1.5,,3.0,1.0,0.0,1.0,0.0,None
351.2,4418.0,10000.0,1875.0,2232.0,1392.0,2.0,7.0,3.0,1.0,1.0,1.0,0.0,None
365.1,4592.0,5058.0,1910.0,3362.0,1763.0,2.0,8.0,,,0.0,1.0,0.0,Recent
330.0,4151.0,6330.0,1940.0,,,1.5,6.0,3.0,1.0,0.0,,0.0,None
354.1,4454.0,4984.0,,2441.0,1464.0,2.0,7.0,3.0,1.0,1.0,1.0,1.0,Recent
335.8,4224.0,6111.0,1964.0,,1740.0,1.0,7.0,3.0,1.0,1.0,1.0,,None
345.0,4340.0,20000.0,1900.0,1754.0,845.0,1.5,6.0,3.0,1.0,0.0,1.0,0.0,None
,4483.0,5967.0,1942.0,3442.0,1836.0,2.0,,3.0,2.0,0.0,,0.0,
379.0,4767.0,7940.0,1900.0,3894.0,2436.0,2.0,8.0,4.0,2.0,0.0,,1.0,None
352.1,,,,2178.0,1350.0,2.0,,3.0,2.0,0.0,1.0,0.0,None
437.3,5501.0,7000.0,1997.0,2628.0,1680.0,2.0,6.0,3.0,2.0,1.0,1.0,0.0,None
,5084.0,5488.0,1940.0,3780.0,1992.0,1.5,8.0,4.0,2.0,,1.0,1.0,Recent
283.4,3565.0,,1940.0,3128.0,1470.0,1.0,5.0,2.0,1.0,0.0,1.0,1.0,
326.4,4106.0,6029.0,1940.0,2620.0,1265.0,1.5,,3.0,1.0,1.0,1.0,0.0,None
309.2,3889.0,5057.0,1948.0,2244.0,1224.0,1.5,7.0,3.0,2.0,0.0,1.0,0.0,None
332.9,4187.0,5682.0,1940.0,,1488.0,2.0,7.0,3.0,1.0,1.0,1.0,0.0,None
,3275.0,,1930.0,2468.0,1299.0,1.5,6.0,3.0,1.0,0.0,1.0,0.0,None
339.3,4268.0,,1940.0,,1306.0,1.5,6.0,,2.0,1.0,1.0,1.0,Recent
307.9,3873.0,5005.0,1928.0,2078.0,1369.0,2.0,6.0,3.0,1.0,0.0,1.0,,Old
346.3,4356.0,8145.0,1940.0,2664.0,1546.0,1.5,6.0,3.0,1.0,0.0,1.0,1.0,Recent
479.1,6027.0,,1999.0,2952.0,1872.0,,7.0,,2.0,1.0,1.0,1.0,None
335.6,4221.0,6475.0,,2684.0,1265.0,1.5,,3.0,1.0,1.0,1.0,0.0,None
261.5,3289.0,4175.0,1940.0,1536.0,768.0,1.0,4.0,2.0,,0.0,1.0,0.0,None
355.1,4467.0,5400.0,1940.0,,,,7.0,3.0,2.0,0.0,1.0,1.0,Recent
356.8,4488.0,5005.0,1996.0,2660.0,1680.0,2.0,6.0,3.0,,1.0,1.0,1.0,None
287.3,3614.0,3288.0,1955.0,2764.0,1503.0,1.5,7.0,3.0,2.0,1.0,1.0,1.0,None
331.9,4175.0,5400.0,1940.0,2536.0,1224.0,1.5,6.0,3.0,1.0,,1.0,1.0,None
387.1,4869.0,8238.0,1968.0,,1922.0,,9.0,,2.0,0.0,1.0,1.0,None
307.6,3869.0,5092.0,1945.0,2539.0,1306.0,1.5,6.0,3.0,2.0,0.0,1.0,0.0,Old
360.9,4540.0,5400.0,1950.0,2508.0,1440.0,2.0,6.0,3.0,3.0,,1.0,0.0,Recent
,5863.0,8970.0,1999.0,2952.0,1872.0,2.0,7.0,4.0,2.0,1.0,1.0,1.0,None
340.0,4277.0,5400.0,1940.0,,1376.0,1.5,6.0,3.0,,0.0,1.0,1.0,
303.9,3823.0,8200.0,1934.0,,1304.0,1.0,6.0,2.0,2.0,0.0,1.0,1.0,Recent
,3818.0,4200.0,1960.0,2670.0,1710.0,2.0,,4.0,1.0,1.0,1.0,1.0,None
301.4,3791.0,6444.0,1940.0,2886.0,1474.0,1.5,6.0,3.0,1.0,1.0,,1.0,None
339.9,4275.0,5035.0,,3264.0,1523.0,1.0,6.0,2.0,1.0,0.0,1.0,0.0,Recent
281.3,3538.0,3960.0,1955.0,2590.0,1630.0,2.0,8.0,4.0,2.0,,1.0,1.0,None
530.1,6668.0,6227.0,1999.0,4013.0,2359.0,2.0,8.0,4.0,2.0,1.0,1.0,0.0,None
310.4,,3150.0,1955.0,2456.0,1620.0,2.0,7.0,4.0,1.0,1.0,1.0,1.0,Old
344.6,4335.0,8151.0,1983.0,4532.0,2056.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,None
525.1,6605.0,6257.0,2001.0,4124.0,2494.0,2.0,9.0,4.0,2.0,0.0,1.0,1.0,None
285.3,3589.0,5024.0,1940.0,2556.0,1306.0,1.5,6.0,3.0,2.0,0.0,1.0,0.0,None
302.3,3802.0,4200.0,1930.0,2272.0,1352.0,2.0,8.0,3.0,1.0,0.0,1.0,1.0,Recent
243.3,3060.0,3150.0,1962.0,2496.0,1420.0,1.5,,2.0,1.0,0.0,1.0,,None
334.9,,6012.0,1910.0,3185.0,1911.0,2.0,7.0,3.0,1.0,1.0,1.0,0.0,None
327.5,4119.0,5968.0,1910.0,3216.0,1839.0,2.0,7.0,3.0,1.0,1.0,1.0,,None
586.6,7379.0,8890.0,2001.0,4791.0,2774.0,2.0,9.0,4.0,3.0,1.0,1.0,1.0,None
,,,1920.0,3516.0,1980.0,,,3.0,1.0,1.0,1.0,0.0,None
267.6,3366.0,,1956.0,876.0,876.0,1.0,,2.0,1.0,,1.0,0.0,None
274.2,3449.0,3617.0,1955.0,2784.0,1435.0,1.5,5.0,2.0,1.0,1.0,1.0,1.0,None
404.6,5089.0,6253.0,1959.0,3077.0,1989.0,1.0,6.0,4.0,3.0,0.0,1.0,1.0,Recent
339.9,,6300.0,1960.0,1730.0,1625.0,1.0,7.0,4.0,1.0,1.0,1.0,1.0,None
420.8,5293.0,7861.0,1967.0,4182.0,2888.0,1.0,,4.0,2.0,1.0,1.0,0.0,None
283.5,,4200.0,1930.0,,1484.0,2.0,6.0,3.0,1.0,1.0,1.0,0.0,None
,7803.0,6255.0,2001.0,6016.0,3446.0,2.0,10.0,4.0,3.0,1.0,1.0,2.0,None
346.3,4356.0,4050.0,1940.0,2756.0,1150.0,,,3.0,1.0,1.0,1.0,1.0,Recent
295.07,3711.0,5131.0,1945.0,1840.0,,1.5,6.0,4.0,2.0,,1.0,0.0,Old
297.6,3743.0,3628.0,1962.0,2736.0,1680.0,2.0,7.0,3.0,1.0,1.0,1.0,1.0,
310.7,,6001.0,1969.0,2124.0,2074.0,1.0,10.0,4.0,,0.0,2.0,2.0,None
442.6,5567.0,4800.0,1999.0,3960.0,2282.0,2.0,6.0,,2.0,1.0,1.0,1.0,None
277.5,3490.0,4050.0,1945.0,2108.0,1014.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,None
,3907.0,3639.0,1955.0,2784.0,1421.0,1.5,,3.0,1.0,1.0,1.0,1.0,Old
327.1,4114.0,6754.0,,2705.0,1340.0,1.0,6.0,3.0,1.0,0.0,1.0,,None
307.5,,2100.0,1989.0,2244.0,1400.0,2.0,6.0,3.0,1.0,1.0,1.0,,None
243.3,3060.0,4200.0,1955.0,2508.0,1120.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,None
352.8,4438.0,6001.0,1965.0,1964.0,1826.0,1.0,8.0,3.0,1.0,1.0,1.0,1.0,Recent
,3253.0,5460.0,1950.0,,1080.0,1.0,6.0,2.0,1.0,0.0,1.0,1.0,None
295.5,3717.0,4050.0,1960.0,2592.0,1387.0,1.5,6.0,3.0,1.0,1.0,1.0,1.0,None
490.7,6173.0,6011.0,1999.0,4368.0,2483.0,2.0,9.0,3.0,2.0,1.0,1.0,1.0,None
330.3,4155.0,6317.0,1969.0,2385.0,1440.0,2.0,6.0,3.0,1.0,1.0,1.0,,None
290.8,3658.0,6850.0,1958.0,2568.0,,,6.0,2.0,1.0,1.0,1.0,,None
350.7,4411.0,9600.0,,4063.0,1636.0,1.0,9.0,3.0,2.0,0.0,2.0,,
301.1,3787.0,6000.0,1965.0,2098.0,1696.0,1.0,,5.0,1.0,1.0,1.0,2.0,None
278.7,3506.0,,,2161.0,1633.0,1.0,8.0,4.0,2.0,0.0,1.0,1.0,Old
298.2,3751.0,5824.0,1945.0,2696.0,1120.0,1.0,6.0,3.0,1.0,0.0,1.0,0.0,None
249.0,3132.0,4200.0,1950.0,1976.0,988.0,1.0,5.0,2.0,1.0,0.0,,1.0,None
287.5,3616.0,6000.0,1965.0,2347.0,1781.0,1.0,8.0,4.0,1.0,1.0,1.0,,None
434.3,5463.0,13267.0,1960.0,3813.0,1931.0,1.5,6.0,2.0,1.0,1.0,,1.0,Recent
508.8,6400.0,3911.0,2004.0,3836.0,,2.0,7.0,4.0,3.0,1.0,1.0,1.0,
338.8,4262.0,10537.0,1910.0,2100.0,1380.0,2.0,,,,1.0,1.0,1.0,None
363.5,,7468.0,1972.0,2815.0,2035.0,2.0,10.0,4.0,2.0,1.0,1.0,0.0,Recent
335.3,4218.0,6400.0,1974.0,,2612.0,1.0,7.0,4.0,1.0,1.0,1.0,1.0,Old
353.5,4447.0,12600.0,1955.0,,1347.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,None
291.5,3667.0,6000.0,,2080.0,2028.0,1.0,8.0,4.0,1.0,1.0,1.0,0.0,None
325.8,4098.0,4900.0,1970.0,2835.0,1659.0,2.0,,4.0,2.0,0.0,,1.0,None
368.2,4631.0,7200.0,1900.0,3223.0,1669.0,2.0,7.0,3.0,,1.0,1.0,0.0,Recent
361.7,4550.0,6000.0,1978.0,2530.0,1590.0,2.0,7.0,4.0,2.0,0.0,1.0,0.0,None
286.3,,6000.0,1965.0,2296.0,1781.0,1.0,8.0,4.0,,1.0,1.0,0.0,None
315.7,3971.0,6400.0,1965.0,2198.0,1633.0,,,3.0,1.0,1.0,1.0,1.0,Old
282.4,,7770.0,,1800.0,900.0,1.0,5.0,2.0,1.0,0.0,1.0,1.0,None
337.5,4245.0,,1925.0,2594.0,1131.0,1.0,6.0,,1.0,,1.0,0.0,None
,4026.0,5290.0,1950.0,2800.0,1824.0,2.0,7.0,4.0,2.0,0.0,1.0,0.0,Recent
272.9,3433.0,2800.0,1920.0,2663.0,1430.0,2.0,6.0,3.0,1.0,1.0,,0.0,None
243.2,3059.0,,1950.0,1628.0,800.0,1.0,5.0,2.0,1.0,0.0,1.0,1.0,None
305.0,3836.0,7448.0,1984.0,2358.0,1306.0,1.5,8.0,3.0,,0.0,1.0,1.0,None
,,2800.0,1955.0,2324.0,1306.0,1.5,7.0,3.0,,0.0,,1.0,None
316.9,3986.0,,1910.0,2302.0,1208.0,1.5,6.0,,1.0,2.0,,0.0,Recent
297.1,3737.0,6000.0,1971.0,2456.0,1997.0,1.0,7.0,3.0,,1.0,1.0,0.0,None
467.0,5874.0,4800.0,,3924.0,2206.0,2.0,9.0,4.0,2.0,2.0,1.0,,None
302.4,3804.0,7440.0,1950.0,2040.0,,1.0,6.0,3.0,1.0,0.0,1.0,0.0,None
253.2,3185.0,4200.0,,2507.0,1403.0,1.5,6.0,2.0,2.0,0.0,,1.0,None
,4718.0,6000.0,1978.0,2370.0,1590.0,2.0,7.0,4.0,2.0,1.0,1.0,0.0,None
242.9,3055.0,4151.0,1920.0,2068.0,1248.0,2.0,7.0,3.0,1.0,0.0,1.0,0.0,None
307.1,,6000.0,1965.0,2308.0,2009.0,1.0,9.0,3.0,2.0,0.0,1.0,0.0,None
274.1,3448.0,6781.0,1956.0,2064.0,1000.0,1.0,5.0,,1.0,0.0,1.0,1.0,None
237.0,2981.0,3200.0,1911.0,1292.0,1020.0,2.0,6.0,3.0,1.0,0.0,1.0,0.0,
,3182.0,6300.0,1964.0,2507.0,1155.0,1.0,6.0,3.0,1.0,0.0,1.0,1.0,
299.4,3766.0,6081.0,1960.0,2212.0,1082.0,1.0,5.0,3.0,1.0,,,1.0,None
286.9,3609.0,,1955.0,1848.0,864.0,1.0,6.0,3.0,,0.0,1.0,1.0,None
,4119.0,,,2466.0,1590.0,2.0,7.0,3.0,1.0,,1.0,0.0,None
367.5,4623.0,4895.0,1989.0,2728.0,1800.0,2.0,7.0,4.0,,1.0,1.0,1.0,None
,3874.0,5160.0,1920.0,,1452.0,2.0,7.0,3.0,2.0,0.0,,0.0,None
516.7,6500.0,,2005.0,4623.0,2597.0,2.0,11.0,,2.0,1.0,1.0,1.0,None
348.7,4386.0,7000.0,1986.0,2467.0,1954.0,1.0,9.0,4.0,2.0,0.0,1.0,1.0,None
367.1,4618.0,6750.0,1956.0,2216.0,1216.0,,,3.0,2.0,0.0,2.0,1.0,None
299.4,3766.0,,1920.0,3475.0,1754.0,,7.0,,2.0,,1.0,0.0,Old
296.5,3729.0,7416.0,1960.0,2164.0,,1.0,6.0,2.0,1.0,1.0,1.0,0.0,None
360.0,4528.0,4544.0,1989.0,2704.0,1800.0,2.0,6.0,3.0,2.0,,1.0,1.0,None
325.9,4099.0,3500.0,1960.0,2632.0,,2.0,6.0,3.0,2.0,0.0,1.0,1.0,Old
360.8,4538.0,,1978.0,2466.0,,2.0,7.0,4.0,1.0,1.0,1.0,0.0,Old
283.0,,3200.0,1965.0,2120.0,,2.0,7.0,3.0,1.0,1.0,1.0,,Old
368.0,4629.0,2295.0,2002.0,,1728.0,2.0,7.0,3.0,2.0,1.0,1.0,1.0,None
,3746.0,7442.0,1950.0,2438.0,1204.0,1.0,6.0,3.0,1.0,0.0,1.0,1.0,None
239.9,3017.0,2800.0,,2364.0,1306.0,1.5,7.0,3.0,1.0,,1.0,0.0,None
293.7,3694.0,6548.0,,2164.0,1082.0,1.0,5.0,2.0,1.0,0.0,1.0,1.0,None
412.4,5187.0,6000.0,1993.0,2991.0,1680.0,2.0,6.0,3.0,1.0,1.0,1.0,,None
382.0,4805.0,7300.0,1978.0,2524.0,1590.0,2.0,7.0,4.0,1.0,1.0,1.0,0.0,None
275.0,3459.0,4294.0,1965.0,2295.0,1470.0,2.0,7.0,3.0,1.0,,1.0,,None
318.2,4002.0,8001.0,1925.0,3228.0,,1.0,5.0,2.0,1.0,0.0,1.0,0.0,None
266.3,3350.0,6089.0,,2180.0,1082.0,1.0,5.0,3.0,1.0,,1.0,0.0,None
282.2,3550.0,,1914.0,2773.0,1568.0,2.0,7.0,3.0,1.0,0.0,1.0,0.0,None
,4091.0,5950.0,1962.0,2448.0,2293.0,1.0,,3.0,1.0,1.0,,0.0,None
,3620.0,6750.0,1956.0,2060.0,960.0,1.0,6.0,3.0,1.0,0.0,1.0,1.0,None
354.2,4455.0,6000.0,1926.0,,1650.0,2.0,8.0,3.0,,0.0,,0.0,None
289.5,3641.0,4335.0,1965.0,2087.0,1326.0,,,3.0,1.0,1.0,1.0,1.0,Old
186.3,2343.0,4300.0,,1926.0,960.0,1.0,5.0,2.0,,0.0,,1.0,None
,5008.0,7287.0,,,1800.0,,,3.0,2.0,0.0,1.0,0.0,None
283.5,3566.0,,,1795.0,933.0,1.5,7.0,3.0,2.0,0.0,1.0,0.0,
254.5,3201.0,5095.0,1960.0,2184.0,1082.0,1.0,5.0,3.0,,0.0,1.0,1.0,None
303.9,,,1940.0,1904.0,1228.0,,6.0,3.0,1.0,1.0,1.0,0.0,
262.1,3297.0,2100.0,1900.0,1800.0,972.0,1.5,6.0,3.0,1.0,1.0,1.0,0.0,Recent
273.1,3435.0,7258.0,1950.0,1992.0,900.0,1.0,5.0,2.0,1.0,0.0,1.0,1.0,None
210.9,2653.0,4281.0,,2047.0,,1.0,5.0,2.0,1.0,0.0,1.0,0.0,None
272.4,3426.0,4416.0,1925.0,,1083.0,1.0,8.0,3.0,1.0,,1.0,1.0,None
279.6,3517.0,6026.0,1960.0,2376.0,1487.0,1.0,,3.0,1.0,1.0,,0.0,None
348.9,4389.0,5300.0,1963.0,2616.0,,1.0,8.0,3.0,1.0,1.0,1.0,0.0,None
,,6750.0,1950.0,2710.0,1305.0,1.5,6.0,3.0,1.0,1.0,1.0,1.0,None
323.0,4063.0,2100.0,1900.0,,1544.0,,6.0,3.0,1.0,0.0,1.0,0.0,Recent
,4243.0,6730.0,1963.0,2926.0,1871.0,2.0,7.0,,2.0,1.0,1.0,0.0,Old
,2298.0,,1920.0,1439.0,856.0,,5.0,,1.0,0.0,1.0,0.0,None
285.8,3595.0,5144.0,1963.0,2732.0,1539.0,1.5,6.0,3.0,1.0,1.0,1.0,0.0,None
259.0,3258.0,4200.0,1900.0,2962.0,1744.0,2.0,6.0,3.0,1.0,0.0,1.0,0.0,None
331.1,4165.0,5307.0,,2232.0,1726.0,1.0,,4.0,1.0,1.0,2.0,0.0,
329.2,4141.0,5663.0,1965.0,2212.0,1320.0,2.0,7.0,3.0,1.0,1.0,1.0,0.0,None
239.3,,3420.0,1918.0,2107.0,1310.0,,,3.0,1.0,0.0,1.0,0.0,None
,3421.0,,1951.0,1928.0,900.0,1.0,5.0,2.0,1.0,0.0,1.0,,None
207.9,2615.0,2968.0,1920.0,2027.0,938.0,1.5,5.0,2.0,1.0,0.0,1.0,0.0,None
294.4,,6750.0,1950.0,2216.0,1000.0,1.0,5.0,,1.0,1.0,,1.0,None
,3931.0,,1960.0,2638.0,2156.0,1.0,6.0,3.0,2.0,0.0,1.0,0.0,None
401.7,5053.0,,2001.0,3156.0,1976.0,,8.0,4.0,2.0,,1.0,1.0,None
288.5,3629.0,3150.0,,2342.0,1467.0,2.0,7.0,4.0,1.0,,,0.0,None
305.4,3841.0,6291.0,1960.0,2126.0,1380.0,2.0,6.0,3.0,1.0,1.0,1.0,0.0,
283.9,,4200.0,,2697.0,1552.0,2.0,7.0,3.0,,,1.0,0.0,None
,3424.0,5507.0,1960.0,2592.0,1469.0,1.5,7.0,2.0,,0.0,1.0,0.0,
271.3,3412.0,5769.0,1960.0,2136.0,1487.0,1.0,6.0,2.0,1.0,1.0,1.0,0.0,None
300.2,3776.0,6444.0,1957.0,2808.0,1469.0,1.5,6.0,2.0,2.0,0.0,1.0,0.0,None
279.8,3519.0,6720.0,1960.0,2492.0,1246.0,1.0,6.0,3.0,1.0,0.0,1.0,1.0,None
509.4,,24677.0,1960.0,6100.0,2601.0,1.5,8.0,5.0,,0.0,1.0,0.0,
,3760.0,7133.0,1950.0,2408.0,1008.0,1.0,6.0,3.0,1.0,0.0,1.0,1.0,None
325.0,4088.0,3850.0,1910.0,2235.0,1276.0,2.0,8.0,3.0,1.0,1.0,1.0,0.0,Old
356.0,4478.0,,1950.0,2526.0,1200.0,1.0,7.0,3.0,1.0,,1.0,1.0,Recent
241.3,3035.0,3360.0,1920.0,2119.0,,1.5,6.0,,1.0,1.0,1.0,0.0,None
314.3,3953.0,7109.0,1960.0,,1380.0,2.0,8.0,3.0,1.0,1.0,1.0,0.0,None
,4608.0,6327.0,2001.0,3156.0,1976.0,2.0,7.0,4.0,2.0,1.0,1.0,1.0,None
323.1,,5643.0,1960.0,3048.0,,2.0,8.0,4.0,1.0,1.0,1.0,0.0,None
286.9,,6044.0,1957.0,2634.0,1469.0,1.5,,,1.0,0.0,1.0,0.0,
293.2,3688.0,,1950.0,2459.0,984.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,None
293.8,,5835.0,1960.0,2680.0,1469.0,1.5,6.0,3.0,1.0,1.0,1.0,0.0,None
,2108.0,1980.0,,1502.0,690.0,1.0,3.0,,1.0,,1.0,0.0,None
253.3,3186.0,3402.0,1924.0,2057.0,1350.0,2.0,6.0,3.0,,1.0,1.0,0.0,None
269.3,3387.0,3850.0,1910.0,1816.0,1152.0,2.0,6.0,2.0,1.0,0.0,1.0,0.0,None
310.2,3902.0,7200.0,1909.0,2370.0,1364.0,,5.0,2.0,1.0,1.0,1.0,,None
217.9,2741.0,3360.0,,2160.0,1008.0,1.0,6.0,3.0,1.0,0.0,1.0,1.0,None
395.0,4969.0,4291.0,,2815.0,1684.0,2.0,6.0,3.0,1.0,1.0,1.0,0.0,None
298.5,3755.0,,1960.0,2118.0,1380.0,,8.0,3.0,1.0,1.0,1.0,0.0,None
561.8,7067.0,9604.0,2006.0,3960.0,2455.0,2.0,8.0,4.0,2.0,1.0,1.0,1.0,None
220.0,,3205.0,,2117.0,1061.0,1.5,6.0,3.0,1.0,0.0,1.0,0.0,None
