Public or Private,Apps received,Apps accepted,New students,Percent from top 10%,Percent from top 25%,FT undergrads,PT undergrads,in_state tuition,out_of_state tuition,room,board,fees,book costs,personal costs,PhD Faculty,faculty_student ratio,Graduation rate
2,700,595,278,19,35,1035,182,10850,10850,2110,1826,60,500,900,62,12.3,88
2,1334,1243,568,30,56,1946,95,12140,12140,2355,2095,75,425,1100,74,15.1,88
2,1860,767,227,71,93,887,1,17000,17000,3160,2850,140,500,850,99,9.6,87
1,950,713,351,42,72,1276,9,14320,14320,3080,2224,866,490,1410,77,14.9,87
2,604,562,328,25,50,1048,56,9800,9800,1200,1450,60,450,2800,61,12.5,87
1,19152,12940,4893,66,92,22045,1339,5040,15732,,,175,476,1600,90,11.5,87
2,3258,338,326,9,40,1277,195,,,,,120,600,500,53,14.3,87
2,1496,1205,428,26,57,1648,936,12888,12888,,,,420,840,62,13.9,87
2,3014,2539,487,31,68,1889,62,18700,18700,2600,2400,125,595,1250,87,11.2,87
2,1456,1053,381,20,45,500,541,10910,10910,2410,2750,500,400,1795,66,15.6,87
2,360,314,155,37,64,848,1542,5400,5400,1330,1940,130,500,,48,14.4,87
2,3712,2153,806,17,45,2677,714,12030,12030,6140,,590,1000,500,63,12,86
2,245,208,125,23,46,544,436,11800,11800,4765,,400,450,1700,71,11.3,86
2,3270,2120,508,46,80,1748,40,24940,24940,,,,590,730,93,10.9,86
2,1305,1100,334,42,64,1098,151,16260,16260,2070,1935,280,300,500,91,12.1,86
2,3767,3414,1061,30,58,4531,643,10870,10870,2540,,80,2000,1522,75,14.4,85
2,1432,920,548,56,84,2200,56,11480,11480,2440,1760,,530,1400,81,12.7,85
2,833,682,217,12,33,716,2196,9985,9985,,,295,500,800,53,27.2,85
2,2967,2836,876,30,60,3450,644,10628,10628,2416,1956,336,650,2055,85,6.5,85
2,2753,1820,505,31,56,1801,45,18720,18720,2960,2770,420,650,825,90,11.5,85
2,1690,1366,662,30,61,2718,1460,10995,10995,2235,2175,585,1000,1000,68,17.6,85
1,9239,7788,3290,35,39,13606,807,3740,8856,1860,2100,798,500,1382,81,17.6,85
2,1386,1060,320,28,56,965,502,13850,13850,4755,,395,400,1125,84,12.3,85
2,1082,832,302,34,63,1133,30,11859,11859,1711,1924,892,554,1429,80,13.4,85
2,3768,2662,753,42,64,3558,436,13592,13592,3276,2640,176,545,1328,84,14.2,84
2,3207,1577,490,56,87,1892,7,17142,17142,2114,2076,120,450,1200,85,11.3,84
2,980,807,350,10,25,872,448,9890,9890,2450,2224,405,500,1350,52,14.4,84
2,807,707,308,39,63,1198,605,8840,8840,1950,1000,100,750,1290,74,13.1,84
2,4186,2743,740,48,77,2819,62,19380,19380,3500,3250,450,410,1000,90,9.8,84
2,1800,1314,526,47,79,1891,40,19300,19300,2800,2900,735,750,750,79,9,84
2,427,385,143,18,38,581,533,12700,12700,5800,,275,450,700,81,10.3,84
2,300,171,132,,,303,3,16900,16900,2880,2740,2000,400,900,76,8.2,84
2,723,652,361,10,30,951,706,7800,7800,4000,,100,350,1500,36,22,84
2,180,171,74,19,39,562,18,10430,10430,,,,400,500,55,11.6,84
2,2929,1834,622,20,56,2738,1662,12600,12600,2510,3100,170,450,3160,90,15.1,84
1,1500,1242,611,12,36,2024,292,3076,7070,830,1609,264,400,779,95,17.1,84
1,4350,2178,756,39,78,2997,736,2026,6490,2712,2230,1180,650,2102,75,17.6,84
2,1910,1380,463,16,64,1715,106,13030,13030,2310,3550,135,500,750,79,14.5,84
2,1916,507,210,98,100,912,,16695,16695,,,210,735,3466,100,6.5,83
2,3708,1678,722,41,66,2852,153,7050,7050,3140,2350,1420,250,600,71,17.8,83
2,2039,1389,432,56,91,1333,30,15688,15688,2120,2498,374,400,400,88,9.5,83
2,3050,1342,471,55,86,1818,23,14360,14360,1760,2330,125,400,650,77,12.9,83
2,2362,2037,700,40,68,2607,148,13130,13130,2480,2170,65,500,1600,77,10.9,83
2,2248,1673,745,38,73,2888,105,14350,14350,2050,1700,,550,550,82,10,83
1,14596,5985,3331,75,92,14609,1100,874,8400,2040,2160,606,550,1200,88,8.9,83
2,2153,1580,321,56,84,1192,87,18432,18432,3224,2342,510,520,660,93,10.2,83
2,946,648,177,23,46,707,432,11790,11790,,,60,500,1000,75,11.9,83
2,1380,768,263,57,82,1000,105,19300,19300,4816,1878,264,600,700,89,6.1,83
2,1747,1382,449,34,66,1662,960,13050,13050,4000,,135,500,800,64,12.1,83
2,553,452,228,22,49,1301,242,9650,9650,2200,2200,260,600,1000,57,14.9,83
2,4778,2767,678,50,89,2587,120,19670,19670,2920,2900,126,575,1119,77,10.1,83
2,2936,2342,669,35,62,2502,66,15990,15990,1785,2295,,600,825,73,14.5,83
2,1959,1805,695,24,47,2849,1107,11520,11520,2600,2360,10,600,1250,73,13.3,83
2,3596,2466,575,42,78,1944,46,19964,19964,2180,2148,90,500,500,94,12.1,83
2,2519,1836,462,30,61,1656,352,16975,16975,2360,2205,,600,850,76,12.8,83
2,2519,2003,776,39,71,2473,1314,12750,12750,,,275,350,1690,84,17.4,83
2,872,722,154,14,36,601,36,10194,10194,1600,1000,300,500,1500,57,11.4,83
2,7791,4690,1499,71,92,5500,90,17865,17865,4132,2393,964,630,952,93,5.8,83
2,1603,1392,504,31,68,2580,302,13312,13312,2240,2248,,600,1516,78,11,83
2,2307,1896,509,19,51,1707,1889,11070,11070,4090,1690,320,400,600,71,14.8,82
2,1994,1656,495,50,80,1983,36,14300,14300,2510,2510,200,550,950,78,11.1,82
2,350,283,82,9,34,367,406,10800,10800,,,550,500,,45,11.7,82
2,3466,2330,640,20,60,3095,1533,13800,13800,2730,2780,65,630,850,87,17.5,82
2,2768,2314,682,49,86,2802,86,15884,15884,2790,2580,346,530,730,92,15.2,82
2,857,772,376,25,58,1721,470,6720,6720,,,,450,1520,77,13.9,82
2,2198,1786,632,15,43,2556,1004,12600,12600,3640,2770,,500,700,84,19,82
2,2161,1951,685,56,82,2371,175,13440,13440,2096,1952,134,600,1250,92,13.5,82
2,1445,966,326,46,83,1129,24,15350,15350,2010,2070,175,450,810,89,10.3,82
2,838,673,292,22,53,881,55,10265,10265,2215,2510,1000,560,875,68,13.2,82
2,486,440,227,19,48,903,59,9650,9650,1900,1900,,600,1300,46,11.4,82
2,765,646,226,30,60,809,32,8578,8578,1920,2488,622,700,1600,79,13.9,82
2,497,393,169,,,1364,454,6870,6870,,,370,400,1125,56,14.2,81
2,434,321,141,28,53,624,269,10950,10950,,,95,550,950,79,12.9,81
1,14939,11652,5705,52,88,25422,911,2760,7560,1780,2794,920,500,1982,87,17.4,81
2,1784,1512,913,29,56,3401,136,10230,10230,1570,2140,,400,1210,75,14.8,81
2,484,386,141,6,28,590,1196,9870,9870,4860,,220,600,1100,59,12.2,81
1,5042,2312,944,55,94,5167,902,3116,5391,,,896,700,1000,81,14.4,81
2,4293,2728,591,25,62,2322,263,18710,18710,3170,2515,215,500,700,87,12.7,81
2,2762,2279,533,32,60,1835,14,16900,16900,2600,2120,820,500,600,88,11.6,81
2,1310,1086,458,26,61,1365,144,12250,12250,1400,2130,700,400,1150,85,16.7,81
2,1561,1188,458,48,72,1548,840,13380,13380,1880,2330,598,500,900,89,17.8,81
2,2417,1843,426,36,70,1476,299,14190,14190,2200,2200,400,500,750,65,12.8,81
2,422,305,160,30,56,781,240,9810,9810,4160,,180,400,,52,17.5,80
2,150,150,121,15,15,338,33,6900,6900,4851,,165,800,1500,24,15.9,80
2,1025,707,297,22,66,1070,72,10100,10100,1750,2390,210,450,1080,69,16.3,80
2,1981,1541,514,18,36,1927,1084,12500,12500,2750,3450,175,375,1000,73,16.8,80
2,4076,3137,738,25,54,3010,184,12990,12990,,,190,600,900,86,14.7,80
2,1321,1159,328,15,36,1243,79,12850,12850,3100,3100,,550,900,77,12.8,80
2,1709,1385,634,36,72,2281,50,14125,14125,3600,,35,400,700,79,12.5,80
1,1024,1024,547,5,17,1830,490,1575,2670,1484,1184,210,500,,62,25,80
2,440,434,252,22,50,764,38,7896,7896,,,610,450,1200,54,11.1,80
2,546,447,189,16,42,873,683,11138,11138,1978,2160,330,600,1200,40,14,80
2,4200,2874,942,30,55,4740,1646,14235,14235,6965,,170,600,1735,86,14.4,80
2,481,401,185,16,40,1402,579,8800,8800,,,345,800,6900,38,9.7,80
1,14463,6166,1757,60,94,8544,671,2650,6550,2690,1908,360,700,1000,83,18,80
2,8766,5498,1243,56,75,5071,438,17840,17840,3978,2604,410,500,882,93,5.9,80
2,1038,839,227,30,63,973,306,15595,15595,2400,2000,200,300,500,79,11.3,80
2,1005,859,298,36,55,1075,43,14850,14850,2250,2210,110,450,420,97,12.7,80
2,996,866,377,29,58,1411,72,12065,12065,1980,1635,595,430,685,62,12.5,80
2,1121,926,372,43,70,1270,160,12660,12660,,,185,678,2424,80,16.9,80
2,2324,1319,370,52,81,1686,35,16560,16560,2980,2160,334,558,1152,91,10.5,79
2,1651,1412,336,,11,1411,1914,10600,10600,3120,1900,200,500,,79,15.6,79
2,1040,845,286,48,77,967,24,15747,15747,1806,2256,186,400,800,88,12.7,79
2,2887,2059,457,30,61,1928,296,17500,17500,2000,2200,440,500,950,94,10.5,79
2,1003,782,295,23,53,1144,160,16160,16160,,,518,500,1200,74,8.9,79
2,920,745,347,35,66,1133,42,11090,11090,2600,2100,210,400,750,80,12,79
2,935,858,345,22,50,1127,754,9490,9490,4100,,270,500,1500,60,10.7,79
2,1768,1249,380,51,93,1263,11,16900,16900,5680,,635,450,750,89,19,79
2,1910,838,285,50,85,1004,15,19264,19264,,,496,750,750,98,10.4,79
2,2688,2081,500,25,53,1792,5,19029,19029,2877,2964,431,600,600,99,12.1,79
2,2432,1730,563,20,63,2578,254,12370,12370,6800,,972,500,1800,92,13.6,79
2,922,729,244,37,66,1000,275,14067,14067,,,270,400,1000,75,10.6,79
2,1399,1026,308,44,77,1131,17,14900,14900,,,180,500,800,82,11.6,79
1,1257,940,363,9,22,1547,294,3660,7656,2598,2092,570,400,700,89,14.7,79
1,7663,6008,1735,18,51,7353,1674,6210,15516,3148,1780,442,500,990,87,9.9,79
2,1160,991,352,19,55,1357,737,12200,12200,1990,1890,110,480,930,74,17.8,79
2,2643,1611,465,36,80,2615,248,13332,13332,3177,3177,120,630,1584,88,16.1,78
1,19873,8252,3215,95,100,19532,2061,3949,11648,,,,636,1933,93,15.8,78
2,860,688,285,32,70,1928,442,13306,13306,1997,1800,,450,950,62,8.8,78
2,663,452,192,10,35,1481,1160,8840,8840,3060,,,500,1000,69,17.4,78
2,1358,1006,274,35,63,1028,13,15036,15036,1899,2157,273,600,600,90,10.6,78
2,876,802,367,14,35,1263,118,10800,10800,1700,1900,100,400,820,68,18.8,78
2,444,359,122,34,53,493,968,10900,10900,,,500,380,1000,68,11.4,78
2,1489,1313,375,13,45,1688,131,10456,10456,2312,2615,395,500,1050,91,17.7,78
2,1979,1739,575,42,68,1980,144,15948,15948,2190,2214,822,400,800,82,12.8,78
2,1557,1074,397,15,40,1805,433,9813,9813,,,623,425,1000,45,16.7,78
2,222,185,91,16,41,484,541,11010,11010,3084,2124,260,550,500,58,10.4,78
2,235,217,121,12,32,931,487,8950,8950,,,,550,1125,51,10.7,78
1,22165,10435,3591,93,100,21637,1255,,7689,,,3894,850,1255,97,11.8,77
2,2799,2573,839,34,65,3322,726,13420,13420,2148,2422,,560,1675,88,15,77
2,1549,1392,587,38,72,2269,85,13240,13240,1850,1710,,600,400,73,13.8,77
1,4144,3379,1853,18,52,10135,1448,2291,6197,1318,1612,164,595,2380,78,16.3,77
2,979,638,271,31,70,968,20,16880,16880,1740,2230,230,920,1320,91,10.7,77
2,422,367,218,13,40,1700,2902,8580,8580,5100,,80,600,,75,12.2,77
2,2096,1626,694,35,67,2551,407,11800,11800,2520,1820,200,700,960,60,15.8,77
2,4750,4041,795,,,1501,334,9810,9810,6890,,290,300,,32,13.5,77
2,1151,813,248,40,64,850,80,15588,15588,4114,2060,100,500,1200,78,9.2,77
2,511,411,186,23,51,1692,562,12224,12224,2290,2150,220,450,1000,63,11.5,77
2,2939,1496,452,56,86,1723,113,15909,15909,2480,2292,101,500,700,85,11.9,77
1,48094,26330,4520,36,79,21401,3712,3640,7410,2780,1986,1003,690,2009,90,19.5,77
2,2174,1953,557,35,68,2332,53,15960,15960,2622,2958,323,700,1300,95,15.8,77
2,478,327,117,9,34,731,370,11510,11510,,,390,575,1075,71,10.3,77
2,2302,1831,391,58,82,1345,59,15200,15200,2696,2072,158,550,1500,90,10.8,77
2,1243,947,324,50,77,1129,74,17163,17163,1812,2079,290,525,975,76,10.1,77
2,5152,4600,1685,36,71,7016,804,11610,11610,,4760,150,600,1950,86,13.5,77
1,1087,702,625,,40,3772,1034,1704,2970,1336,1200,20,500,,62,19.4,76
1,16343,11399,3124,95,100,15429,1888,,7699,,,4374,841,2374,,14.5,76
2,292,241,96,20,52,543,712,12200,12200,2200,2400,200,650,950,87,11.2,76
1,5597,4253,1565,12,38,9161,845,1902,5710,,,782,120,1730,62,16.2,76
2,1127,884,308,30,64,1310,766,11718,11718,,,120,450,1800,73,16.4,76
2,1888,1347,519,,,2160,131,9438,9438,2100,2200,432,,,55,12.8,76
1,6040,4577,1620,36,72,5640,266,2704,4856,3080,,118,400,1100,69,15.7,76
2,1498,1275,292,,17,1557,2973,10608,10608,2760,1980,408,400,900,34,38.4,76
2,348,281,127,12,52,1095,785,9150,9150,1750,2200,130,500,800,56,12.2,76
1,8598,4562,1143,56,93,5060,146,2650,6550,2620,1550,433,600,650,79,19.1,76
2,2652,1900,484,44,77,1707,44,17080,17080,2280,2160,260,400,600,73,9.9,76
2,737,614,242,21,67,968,237,10425,10425,3975,,,500,1500,61,14.7,76
2,141,118,55,12,21,201,173,8300,8300,,,100,450,1300,53,9.5,76
2,780,628,198,7,20,545,42,11750,11750,,,300,400,850,77,14,76
2,605,405,284,24,53,961,99,6398,6398,1450,2222,148,400,1350,68,13.3,75
2,1754,1465,505,24,49,2159,211,13712,13712,3622,2786,460,526,1100,90,9.3,75
2,14446,10516,3252,22,57,14130,4522,3690,10220,2280,1950,410,530,1300,82,18.3,75
2,544,399,177,15,35,600,363,6987,6987,,,285,750,1500,77,12.5,75
2,528,403,186,22,56,1168,145,9216,9216,4191,,80,400,1000,56,12.1,75
2,1444,1261,456,29,62,1788,95,11910,11910,,,91,450,965,60,11.4,75
2,607,558,269,22,47,1222,519,10500,10500,,,150,650,1500,81,11.6,75
2,150,130,88,23,50,341,768,10300,10300,1590,2540,400,500,1700,44,10.2,75
2,457,356,177,35,61,667,1983,11180,11180,,,100,600,700,64,11.5,75
2,356,312,139,18,65,388,412,8850,8850,2300,2150,200,600,1000,29,21.8,75
1,9750,7640,2529,24,62,10358,1338,3550,11180,1648,2214,830,650,2450,89,17.5,75
2,7259,5526,1368,23,52,5612,166,14424,14424,3062,3130,,634,1000,58,11.5,75
2,1416,1015,417,10,44,1324,117,13500,13500,5800,,,585,1700,67,13.2,75
2,2190,1700,458,36,65,1780,48,16732,16732,2860,2790,,550,550,93,12.1,75
2,2830,2374,1003,34,64,4253,942,10578,10578,2258,2856,750,550,,84,13.8,75
1,6773,3028,1025,15,55,5847,946,3086,7844,1650,1298,608,500,1680,66,18,75
2,604,452,295,15,47,690,222,9888,9888,1846,2670,185,400,1000,64,12.1,75
2,440,407,149,35,70,643,80,12050,12050,,,,500,900,63,10.2,75
2,1501,935,273,51,83,1059,34,12680,12680,,,,605,1440,91,15.3,75
2,342,182,135,12,32,538,228,7540,7540,,,,600,1400,38,11.4,75
2,460,340,167,14,45,604,350,10740,10740,1838,1838,225,350,900,67,11,74
2,465,361,176,19,39,879,156,12580,12580,2390,1955,,400,970,76,13.1,74
2,1013,888,288,55,82,943,7,11850,11850,2120,2150,350,600,900,95,11.4,74
2,7033,5125,1223,47,75,4941,1534,19040,19040,2690,3260,510,350,800,98,9.1,74
2,399,335,161,,25,736,29,13472,13472,5528,,,400,,74,9.6,74
2,1224,1101,338,55,84,1218,,16179,16179,2667,2427,70,510,780,75,12.4,74
1,572,544,320,45,72,1470,416,2013,6073,1260,2140,,550,1400,71,16.4,74
2,707,512,222,17,44,1671,1512,7350,7350,,,322,600,1500,52,13.6,74
1,13528,9198,1843,16,61,10168,1231,2650,6550,2950,1405,295,700,1560,93,17.4,74
2,8728,5201,1191,60,89,4265,291,17900,17900,3520,2170,100,450,1250,86,9.2,74
2,776,607,198,25,58,791,764,14340,14340,,,,500,1000,58,11.7,74
2,668,534,237,19,39,1306,258,9476,9476,2800,2020,44,500,1100,67,20.1,74
2,622,354,169,14,41,1145,1148,8800,8800,,,200,675,1500,44,11.2,74
2,1232,955,303,23,58,1241,485,14990,14990,2130,2600,180,550,1250,86,15.2,74
2,1179,780,290,38,64,1130,638,9690,9690,2495,2290,60,600,1000,60,13.3,74
2,1771,1325,306,21,46,1071,27,13840,13840,1850,1885,325,400,900,77,10.7,74
2,1721,1068,806,35,75,3128,213,5504,5504,1650,1878,1016,700,910,71,17.7,73
2,1133,630,220,37,73,750,30,17688,17688,3192,2708,1548,650,850,100,10.4,73
2,855,632,139,60,83,569,7,17238,17238,3500,3850,112,600,800,95,8.2,73
2,1498,1219,306,26,63,1369,1587,16530,16530,2795,3410,405,600,,81,8.9,73
2,1557,1227,489,37,69,1964,81,12315,12315,2165,2400,555,600,1365,85,12.5,73
2,246,217,171,,,674,472,4400,4400,,,95,534,,72,16.1,73
2,1899,1720,489,37,68,1594,32,13868,13868,2426,2400,1042,450,850,89,13.7,73
2,1732,1425,472,37,75,1830,110,16548,16548,2808,2598,424,500,600,82,11.3,73
2,2083,1725,430,22,49,1464,67,17480,17480,2250,2530,300,500,700,75,12.3,73
2,1109,922,375,24,46,1115,70,13240,13240,1634,2280,386,600,800,73,13.4,73
2,1163,850,348,23,56,878,519,12850,12850,5400,,260,400,800,78,12.2,73
2,342,254,126,25,64,518,232,10335,10335,,,260,700,850,71,8.3,73
1,8065,5257,2301,37,65,11755,770,3036,8116,1890,1720,,800,1618,82,18,73
2,1239,1134,611,,,1957,343,5775,5775,1450,1890,1110,500,1700,97,16.2,73
